evidence_id,return_id,stage,type,image_uri,claim_metadata,uploaded_by,observed_at,source_type,scenario_id,generator_version,reference_image_uri
E-RTN-S07-001-WH-01,RTN-S07-001,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S07-001_warehouse_01.jpg,{},warehouse,2026-08-28T09:59:59+00:00,synthetic_demo,S07,rg-synth-v1.0.2,
E-RTN-S07-002-WH-01,RTN-S07-002,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S07-002_warehouse_01.jpg,{},warehouse,2026-08-27T09:59:59+00:00,synthetic_demo,S07,rg-synth-v1.0.2,
E-RTN-S07-003-WH-01,RTN-S07-003,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S07-003_warehouse_01.jpg,{},warehouse,2026-08-28T14:59:59+00:00,synthetic_demo,S07,rg-synth-v1.0.2,
E-RTN-S07-004-WH-01,RTN-S07-004,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S07-004_warehouse_01.jpg,{},warehouse,2026-08-28T18:59:59+00:00,synthetic_demo,S07,rg-synth-v1.0.2,
E-RTN-S07-005-WH-01,RTN-S07-005,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S07-005_warehouse_01.jpg,{},warehouse,2026-08-26T04:59:59+00:00,synthetic_demo,S07,rg-synth-v1.0.2,
E-RTN-S08-001-WH-01,RTN-S08-001,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S08-001_warehouse_01.jpg,{},warehouse,2026-08-30T07:59:59+00:00,synthetic_demo,S08,rg-synth-v1.0.2,
E-RTN-S08-002-WH-01,RTN-S08-002,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S08-002_warehouse_01.jpg,{},warehouse,2026-08-26T00:59:59+00:00,synthetic_demo,S08,rg-synth-v1.0.2,
E-RTN-S08-003-WH-01,RTN-S08-003,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S08-003_warehouse_01.jpg,{},warehouse,2026-08-29T16:59:59+00:00,synthetic_demo,S08,rg-synth-v1.0.2,
E-RTN-S08-004-WH-01,RTN-S08-004,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S08-004_warehouse_01.jpg,{},warehouse,2026-08-28T03:59:59+00:00,synthetic_demo,S08,rg-synth-v1.0.2,
E-RTN-S09-001-CUST-01,RTN-S09-001,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S09-001_customer_01.jpg,"{""reason"": ""damaged""}",customer,2026-08-23T20:59:59+00:00,synthetic_demo,S09,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_8843.jpg
E-RTN-S09-001-WH-01,RTN-S09-001,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S09-001_warehouse_01.jpg,{},warehouse,2026-08-26T18:59:59+00:00,synthetic_demo,S09,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_8843.jpg
E-RTN-S09-002-CUST-01,RTN-S09-002,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S09-002_customer_01.jpg,"{""reason"": ""damaged""}",customer,2026-08-24T23:59:59+00:00,synthetic_demo,S09,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_4988.jpg
E-RTN-S09-002-WH-01,RTN-S09-002,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S09-002_warehouse_01.jpg,{},warehouse,2026-08-28T21:59:59+00:00,synthetic_demo,S09,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_4988.jpg
E-RTN-S09-003-CUST-01,RTN-S09-003,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S09-003_customer_01.jpg,"{""reason"": ""damaged""}",customer,2026-08-22T22:59:59+00:00,synthetic_demo,S09,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_1430.jpg
E-RTN-S09-003-WH-01,RTN-S09-003,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S09-003_warehouse_01.jpg,{},warehouse,2026-08-25T18:59:59+00:00,synthetic_demo,S09,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_1430.jpg
E-RTN-S09-004-CUST-01,RTN-S09-004,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S09-004_customer_01.jpg,"{""reason"": ""damaged""}",customer,2026-08-23T17:59:59+00:00,synthetic_demo,S09,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_28692.jpg
E-RTN-S09-004-WH-01,RTN-S09-004,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S09-004_warehouse_01.jpg,{},warehouse,2026-08-28T10:59:59+00:00,synthetic_demo,S09,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_28692.jpg
E-RTN-S10-001-WH-01,RTN-S10-001,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S10-001_warehouse_01.jpg,{},warehouse,2026-08-27T14:59:59+00:00,synthetic_demo,S10,rg-synth-v1.0.2,
E-RTN-S10-002-WH-01,RTN-S10-002,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S10-002_warehouse_01.jpg,{},warehouse,2026-08-24T22:59:59+00:00,synthetic_demo,S10,rg-synth-v1.0.2,
E-RTN-S10-003-WH-01,RTN-S10-003,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S10-003_warehouse_01.jpg,{},warehouse,2026-08-27T22:59:59+00:00,synthetic_demo,S10,rg-synth-v1.0.2,
E-RTN-S10-004-WH-01,RTN-S10-004,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S10-004_warehouse_01.jpg,{},warehouse,2026-08-29T01:59:59+00:00,synthetic_demo,S10,rg-synth-v1.0.2,
E-RTN-S10-005-WH-01,RTN-S10-005,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S10-005_warehouse_01.jpg,{},warehouse,2026-08-29T00:59:59+00:00,synthetic_demo,S10,rg-synth-v1.0.2,
E-RTN-S11-001-WH-01,RTN-S11-001,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S11-001_warehouse_01.jpg,{},warehouse,2026-08-28T13:59:59+00:00,synthetic_demo,S11,rg-synth-v1.0.2,
E-RTN-S11-002-WH-01,RTN-S11-002,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S11-002_warehouse_01.jpg,{},warehouse,2026-08-26T21:59:59+00:00,synthetic_demo,S11,rg-synth-v1.0.2,
E-RTN-S11-003-WH-01,RTN-S11-003,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S11-003_warehouse_01.jpg,{},warehouse,2026-08-24T13:59:59+00:00,synthetic_demo,S11,rg-synth-v1.0.2,
E-RTN-S11-004-WH-01,RTN-S11-004,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S11-004_warehouse_01.jpg,{},warehouse,2026-08-25T22:59:59+00:00,synthetic_demo,S11,rg-synth-v1.0.2,
E-RTN-S11-005-WH-01,RTN-S11-005,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S11-005_warehouse_01.jpg,{},warehouse,2026-08-27T21:59:59+00:00,synthetic_demo,S11,rg-synth-v1.0.2,
E-RTN-S12-001-CUST-01,RTN-S12-001,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S12-001_customer_01.jpg,"{""reason"": ""defective""}",customer,2026-08-22T11:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_24767.jpg
E-RTN-S12-001-WH-01,RTN-S12-001,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S12-001_warehouse_01.jpg,{},warehouse,2026-08-25T04:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_24767.jpg
E-RTN-S12-002-CUST-01,RTN-S12-002,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S12-002_customer_01.jpg,"{""reason"": ""defective""}",customer,2026-08-24T07:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_20789.jpg
E-RTN-S12-002-WH-01,RTN-S12-002,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S12-002_warehouse_01.jpg,{},warehouse,2026-08-27T22:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_20789.jpg
E-RTN-S12-003-CUST-01,RTN-S12-003,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S12-003_customer_01.jpg,"{""reason"": ""defective""}",customer,2026-08-25T16:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_13389.jpg
E-RTN-S12-003-WH-01,RTN-S12-003,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S12-003_warehouse_01.jpg,{},warehouse,2026-08-27T06:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_13389.jpg
E-RTN-S12-004-CUST-01,RTN-S12-004,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S12-004_customer_01.jpg,"{""reason"": ""defective""}",customer,2026-08-25T21:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_15241.jpg
E-RTN-S12-004-WH-01,RTN-S12-004,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S12-004_warehouse_01.jpg,{},warehouse,2026-08-29T13:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_15241.jpg
E-RTN-S12-005-CUST-01,RTN-S12-005,CUSTOMER,CUSTOMER_PHOTO,gs://returnguard-evidence/customer/RTN-S12-005_customer_01.jpg,"{""reason"": ""defective""}",customer,2026-08-26T08:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_19603.jpg
E-RTN-S12-005-WH-01,RTN-S12-005,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S12-005_warehouse_01.jpg,{},warehouse,2026-08-28T23:59:59+00:00,synthetic_demo,S12,rg-synth-v1.0.2,gs://returnguard-evidence/reference/product_19603.jpg
E-RTN-S14-001-WH-01,RTN-S14-001,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S14-001_warehouse_01.jpg,{},warehouse,2026-08-25T19:59:59+00:00,synthetic_demo,S14,rg-synth-v1.0.2,
E-RTN-S14-002-WH-01,RTN-S14-002,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S14-002_warehouse_01.jpg,{},warehouse,2026-08-31T13:59:59+00:00,synthetic_demo,S14,rg-synth-v1.0.2,
E-RTN-S14-003-WH-01,RTN-S14-003,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S14-003_warehouse_01.jpg,{},warehouse,2026-08-30T00:59:59+00:00,synthetic_demo,S14,rg-synth-v1.0.2,
E-RTN-S14-004-WH-01,RTN-S14-004,WAREHOUSE,WAREHOUSE_PHOTO,gs://returnguard-evidence/warehouse/RTN-S14-004_warehouse_01.jpg,{},warehouse,2026-08-24T20:59:59+00:00,synthetic_demo,S14,rg-synth-v1.0.2,
