return_id,reverse_logistics_cost,inspection_cost,recovery_value,source_type,scenario_id,generator_version
RTN-S09-004,57.23,12.5,34.28,synthetic_demo,S09,rg-synth-v1.0.2
RTN-S10-001,47.21,0.0,8.66,synthetic_demo,S10,rg-synth-v1.0.2
RTN-S10-002,69.77,0.0,8.14,synthetic_demo,S10,rg-synth-v1.0.2
RTN-S10-003,94.59,0.0,4.84,synthetic_demo,S10,rg-synth-v1.0.2
RTN-S10-004,108.54,0.0,22.14,synthetic_demo,S10,rg-synth-v1.0.2
RTN-S10-005,58.57,0.0,62.89,synthetic_demo,S10,rg-synth-v1.0.2
RTN-S11-001,53.06,0.0,3.23,synthetic_demo,S11,rg-synth-v1.0.2
RTN-S11-002,113.32,0.0,5.85,synthetic_demo,S11,rg-synth-v1.0.2
RTN-S11-003,89.73,0.0,14.27,synthetic_demo,S11,rg-synth-v1.0.2
RTN-S11-004,39.53,0.0,1.87,synthetic_demo,S11,rg-synth-v1.0.2
RTN-S11-005,78.01,0.0,4.05,synthetic_demo,S11,rg-synth-v1.0.2
RTN-S12-002,61.11,12.5,12.94,synthetic_demo,S12,rg-synth-v1.0.2
RTN-S12-003,50.92,24.0,57.29,synthetic_demo,S12,rg-synth-v1.0.2
RTN-S12-004,62.24,12.5,3.03,synthetic_demo,S12,rg-synth-v1.0.2
RTN-S13-001,53.34,0.0,3.17,synthetic_demo,S13,rg-synth-v1.0.2
RTN-S13-002,57.45,0.0,19.65,synthetic_demo,S13,rg-synth-v1.0.2
RTN-S13-003,99.63,0.0,3.14,synthetic_demo,S13,rg-synth-v1.0.2
RTN-S13-004,90.43,0.0,47.53,synthetic_demo,S13,rg-synth-v1.0.2
RTN-S14-001,99.55,0.0,3.72,synthetic_demo,S14,rg-synth-v1.0.2
RTN-S14-002,37.69,0.0,1.38,synthetic_demo,S14,rg-synth-v1.0.2
RTN-S14-003,50.3,0.0,9.18,synthetic_demo,S14,rg-synth-v1.0.2
RTN-S14-004,53.94,0.0,12.55,synthetic_demo,S14,rg-synth-v1.0.2
RTN-M01-001,53.7,0.0,3.0,synthetic_demo,M01,rg-synth-v2.0.0
RTN-M01-002,85.25,0.0,17.05,synthetic_demo,M01,rg-synth-v2.0.0
RTN-M02-001,68.03,24.0,49.81,synthetic_demo,M02,rg-synth-v2.0.0
RTN-M02-002,38.91,12.5,8.25,synthetic_demo,M02,rg-synth-v2.0.0
RTN-M03-001,75.65,12.5,3.1,synthetic_demo,M03,rg-synth-v2.0.0
RTN-M03-002,76.94,12.5,8.97,synthetic_demo,M03,rg-synth-v2.0.0
RTN-M04-001,101.33,12.5,19.23,synthetic_demo,M04,rg-synth-v2.0.0
RTN-M04-002,83.72,12.5,0.58,synthetic_demo,M04,rg-synth-v2.0.0
RTN-M05-001,62.28,0.0,95.95,synthetic_demo,M05,rg-synth-v2.0.0
RTN-M05-002,50.0,0.0,75.02,synthetic_demo,M05,rg-synth-v2.0.0
RTN-M06-001,107.51,12.5,31.17,synthetic_demo,M06,rg-synth-v2.0.0
RTN-M06-002,98.94,12.5,4.63,synthetic_demo,M06,rg-synth-v2.0.0
RTN-M07-001,100.16,24.0,101.36,synthetic_demo,M07,rg-synth-v2.0.0
RTN-M07-002,37.23,24.0,80.9,synthetic_demo,M07,rg-synth-v2.0.0
RTN-M08-001,70.91,24.0,93.84,synthetic_demo,M08,rg-synth-v2.0.0
RTN-M08-002,67.96,24.0,88.94,synthetic_demo,M08,rg-synth-v2.0.0
RTN-S12V2-001,41.13,12.5,22.47,synthetic_demo,S12V2,rg-synth-v2.0.0
RTN-S12V2-002,35.24,12.5,30.0,synthetic_demo,S12V2,rg-synth-v2.0.0
