return_id,pickup_at,received_at,reverse_cost,source_type,generator_version,scenario_id
RTN-S09-004,2026-08-24T08:59:59+00:00,2026-08-28T08:59:59+00:00,57.23,synthetic_demo,rg-synth-v1.0.2,S09
RTN-S10-001,2026-08-25T12:59:59+00:00,2026-08-27T12:59:59+00:00,47.21,synthetic_demo,rg-synth-v1.0.2,S10
RTN-S10-002,2026-08-22T20:59:59+00:00,2026-08-24T20:59:59+00:00,69.77,synthetic_demo,rg-synth-v1.0.2,S10
RTN-S10-003,2026-08-23T20:59:59+00:00,2026-08-27T20:59:59+00:00,94.59,synthetic_demo,rg-synth-v1.0.2,S10
RTN-S10-004,2026-08-24T23:59:59+00:00,2026-08-28T23:59:59+00:00,108.54,synthetic_demo,rg-synth-v1.0.2,S10
RTN-S10-005,2026-08-24T22:59:59+00:00,2026-08-28T22:59:59+00:00,58.57,synthetic_demo,rg-synth-v1.0.2,S10
RTN-S11-001,2026-08-27T11:59:59+00:00,2026-08-28T11:59:59+00:00,53.06,synthetic_demo,rg-synth-v1.0.2,S11
RTN-S11-002,2026-08-23T19:59:59+00:00,2026-08-26T19:59:59+00:00,113.32,synthetic_demo,rg-synth-v1.0.2,S11
RTN-S11-003,2026-08-23T11:59:59+00:00,2026-08-24T11:59:59+00:00,89.73,synthetic_demo,rg-synth-v1.0.2,S11
RTN-S11-004,2026-08-23T20:59:59+00:00,2026-08-25T20:59:59+00:00,39.53,synthetic_demo,rg-synth-v1.0.2,S11
RTN-S11-005,2026-08-23T19:59:59+00:00,2026-08-27T19:59:59+00:00,78.01,synthetic_demo,rg-synth-v1.0.2,S11
RTN-S12-001,2026-08-23T02:59:59+00:00,2026-08-25T02:59:59+00:00,94.51,synthetic_demo,rg-synth-v1.0.2,S12
RTN-S12-002,2026-08-25T20:59:59+00:00,2026-08-27T20:59:59+00:00,61.11,synthetic_demo,rg-synth-v1.0.2,S12
RTN-S12-003,2026-08-26T04:59:59+00:00,2026-08-27T04:59:59+00:00,50.92,synthetic_demo,rg-synth-v1.0.2,S12
RTN-S12-004,2026-08-26T11:59:59+00:00,2026-08-29T11:59:59+00:00,62.24,synthetic_demo,rg-synth-v1.0.2,S12
RTN-S12-005,2026-08-27T21:59:59+00:00,2026-08-28T21:59:59+00:00,80.3,synthetic_demo,rg-synth-v1.0.2,S12
RTN-S13-001,2026-08-25T09:59:59+00:00,2026-08-29T09:59:59+00:00,53.34,synthetic_demo,rg-synth-v1.0.2,S13
RTN-S13-002,2026-08-23T06:59:59+00:00,2026-08-25T06:59:59+00:00,57.45,synthetic_demo,rg-synth-v1.0.2,S13
RTN-S13-003,2026-08-25T04:59:59+00:00,2026-08-29T04:59:59+00:00,99.63,synthetic_demo,rg-synth-v1.0.2,S13
RTN-S13-004,2026-08-26T11:59:59+00:00,2026-08-28T11:59:59+00:00,90.43,synthetic_demo,rg-synth-v1.0.2,S13
RTN-S14-001,2026-08-23T17:59:59+00:00,2026-08-25T17:59:59+00:00,99.55,synthetic_demo,rg-synth-v1.0.2,S14
RTN-S14-002,2026-08-28T11:59:59+00:00,2026-08-31T11:59:59+00:00,37.69,synthetic_demo,rg-synth-v1.0.2,S14
RTN-S14-003,2026-08-25T22:59:59+00:00,2026-08-29T22:59:59+00:00,50.3,synthetic_demo,rg-synth-v1.0.2,S14
RTN-S14-004,2026-08-23T18:59:59+00:00,2026-08-24T18:59:59+00:00,53.94,synthetic_demo,rg-synth-v1.0.2,S14
