return_id,fraud_type,ground_truth,source,scenario_id,generator_version
RTN-M02-001,none,False,controlled_demo_evaluation_only,M02,rg-synth-v2.0.0
RTN-M02-002,none,False,controlled_demo_evaluation_only,M02,rg-synth-v2.0.0
RTN-M03-001,none,False,controlled_demo_evaluation_only,M03,rg-synth-v2.0.0
RTN-M03-002,none,False,controlled_demo_evaluation_only,M03,rg-synth-v2.0.0
RTN-M04-001,multi_signal_abuse,True,controlled_demo_evaluation_only,M04,rg-synth-v2.0.0
RTN-M04-002,multi_signal_abuse,True,controlled_demo_evaluation_only,M04,rg-synth-v2.0.0
RTN-M05-001,elevated_risk_economics,True,controlled_demo_evaluation_only,M05,rg-synth-v2.0.0
RTN-M05-002,elevated_risk_economics,True,controlled_demo_evaluation_only,M05,rg-synth-v2.0.0
RTN-M06-001,coordinated_defect_abuse,True,controlled_demo_evaluation_only,M06,rg-synth-v2.0.0
RTN-M06-002,coordinated_defect_abuse,True,controlled_demo_evaluation_only,M06,rg-synth-v2.0.0
RTN-M07-001,high_value_empty_box,True,controlled_demo_evaluation_only,M07,rg-synth-v2.0.0
RTN-M07-002,high_value_empty_box,True,controlled_demo_evaluation_only,M07,rg-synth-v2.0.0
RTN-M08-001,high_value_serial_swap,True,controlled_demo_evaluation_only,M08,rg-synth-v2.0.0
RTN-M08-002,high_value_serial_swap,True,controlled_demo_evaluation_only,M08,rg-synth-v2.0.0
RTN-S12V2-001,none,False,controlled_demo_evaluation_only,S12V2,rg-synth-v2.0.0
RTN-S12V2-002,none,False,controlled_demo_evaluation_only,S12V2,rg-synth-v2.0.0
